ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,"Interdune, Depth",Lee,"Stoss, Depth",Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.28A,MF.30A,MF.31B,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu236,262.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,10.0,6.0,4.0,2.0,1.0,336.0,586.0,8.0,2.0,2.0,5.0,7.0,4.0,83.0,7.0,2.0,17.0,9.0,7.0,4.0,6.0,14.0,7.0,4.0,0.0,4.0,6.0,4.0,6.0,5.0,4.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria salina
Zotu342,629.0,20.0,2.0,9.0,5.0,6.0,31.0,17.0,10.0,8.0,2.0,7.0,1.0,4.0,12.0,3.0,5.0,9.0,1.0,47.0,15.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
Zotu1,607.0,926.0,968.0,209.0,241.0,366.0,400.0,517.0,244.0,265.0,1709.0,1761.0,17626.0,318.0,227.0,235.0,312.0,336.0,1085.0,3005.0,885.0,5824.0,6195.0,8908.0,6029.0,6889.0,5370.0,709.0,464.0,300.0,8692.0,6794.0,5940.0,4456.0,4386.0,5730.0,492.0,335.0,345.0,457.0,11631.0,324.0,599.0,114.0,1940.0,4160.0,3101.0,3647.0,4894.0,3449.0,2078.0,392.0,1068.0,2523.0,121.0,75.0,336.0,700.0,105.0,239.0,223.0,188.0,bacteria,gemmatimonadota,longimicrobiia,longimicrobiales,longimicrobiaceae,longimicrobium,longimicrobium terrae
Zotu5769,1.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,bacteria,pseudomonadota,gammaproteobacteria,moraxellales,moraxellaceae,acinetobacter,acinetobacter indicus
Zotu2615,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,kaistiaceae,bauldia,bauldia consociata
Zotu802,323.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium proteolyticum
Zotu70,262.0,12.0,25.0,9.0,15.0,12.0,5.0,9.0,4.0,5.0,7.0,32.0,8.0,12.0,13.0,10.0,15.0,14.0,3.0,291.0,20.0,4.0,700.0,397.0,193.0,81.0,6.0,6.0,4.0,11.0,125.0,100.0,192.0,3.0,167.0,5.0,44.0,18.0,46.0,23.0,1.0,6.0,3.0,2.0,48.0,74.0,2.0,48.0,150.0,2.0,36.0,8.0,38.0,19.0,5.0,2.0,4.0,0.0,3.0,4.0,2.0,12.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu14,68.0,63.0,38.0,50.0,30.0,7581.0,30.0,57.0,39.0,623.0,51.0,47.0,26.0,63.0,42.0,280.0,40.0,59.0,64.0,53.0,53.0,42.0,54.0,43.0,48.0,54.0,48.0,74.0,71.0,59.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu132,538.0,29.0,14.0,8.0,2.0,1261.0,15.0,16.0,16.0,14.0,9.0,17.0,7.0,14.0,20.0,12.0,11.0,11.0,8.0,5.0,7.0,8.0,9.0,7.0,3.0,23.0,22.0,4.0,4.0,16.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.0,2.0,1.0,0.0,4.0,0.0,46.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,31.0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu147,7.0,538.0,24.0,5.0,1.0,2.0,4.0,345.0,97.0,3.0,33.0,10.0,10.0,51.0,28.0,11.0,8.0,114.0,118.0,11.0,4.0,5.0,9.0,10.0,13.0,6.0,11.0,5.0,11.0,19.0,12.0,2.0,1.0,1.0,0.0,3.0,47.0,28.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,1.0,135.0,2.0,1.0,2.0,0.0,11.0,1.0,1.0,1.0,1.0,54.0,3.0,0.0,1.0,2.0,1.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
