ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu162,78.0,9.0,4.0,2.0,0.0,0.0,4.0,5.0,3.0,33.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu8,99.0,18.0,25.0,16.0,10.0,14.0,24.0,21.0,29.0,361.0,bacteria,bdellovibrionota,oligoflexia,oligoflexales,oligoflexaceae,oligoflexus,oligoflexus tunisiensis
Zotu1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium horti
Zotu156,3.0,5.0,2.0,0.0,2.0,6.0,3.0,3.0,13.0,68.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,aquihabitans,aquihabitans daechungensis
Zotu1427,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacteroidota,sphingobacteriia,sphingobacteriales,aurantibacillaceae,aurantibacillus,aurantibacillus circumpalustris
Zotu2021,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,caulobacterales,caulobacteraceae,phenylobacterium,phenylobacterium deserti
Zotu358,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingomonadaceae,sphingopyxis,sphingopyxis macrogoltabida
Zotu1283,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,archaea,thaumarchaeota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,nitrososphaera,candidatus nitrososphaera gargensis
Zotu347,37.0,56.0,372.0,365.0,337.0,99.0,335.0,350.0,432.0,12.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella humi
Zotu43,57.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,paracoccaceae,paracoccus,paracoccus speluncae
Zotu434,5.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,8.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,salinarimonadaceae,salinarimonas,salinarimonas soli
Zotu1703,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0,bacteria,pseudomonadota,betaproteobacteria,nitrosomonadales,methylophilaceae,pseudomethylobacillus,pseudomethylobacillus aquaticus
Zotu467,54.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium rubrum
Zotu69,336.0,12.0,1.0,0.0,2.0,6.0,1.0,2.0,2.0,91.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aerium
Zotu235,23.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,115.0,bacteria,acidobacteriota,acidobacteriia,acidobacteriales,acidobacteriaceae,edaphobacter,edaphobacter modestum
Zotu2133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,blastococcus,blastococcus colisei
Zotu74,74.0,3.0,10.0,8.0,9.0,3.0,31.0,12.0,13.0,27.0,bacteria,bacteroidota,sphingobacteriia,sphingobacteriales,sphingobacteriaceae,pedobacter,pedobacter mongoliensis
Zotu460,10.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,17.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,croceibacterium,croceibacterium soli
Zotu44,131.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,9.0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter terrigena
Zotu1186,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus peraridilitoris
Zotu166,5.0,7.0,3.0,6.0,0.0,2.0,1.0,2.0,104.0,123.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum suwonense
Zotu542,18.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,96.0,bacteria,bacillota,bacilli,lactobacillales,streptococcaceae,lactococcus,lactococcus cremoris
Zotu1707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,magnetovibrionaceae,varunaivibrio,varunaivibrio sulfuroxidans
Zotu1141,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus chilensis
Zotu109,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,parviterribacteraceae,parviterribacter,parviterribacter kavangonensis
Zotu2256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu29,217.0,17.0,6.0,10.0,8.0,18.0,10.0,11.0,10.0,80.0,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter halodurans
Zotu18,111.0,16.0,16.0,10.0,15.0,9.0,15.0,13.0,11.0,22.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter monticola
Zotu83,30.0,33.0,3.0,8.0,3.0,8.0,2.0,12.0,43.0,50.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu280,4.0,69.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu3014,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,gammaproteobacteria,pasteurellales,pasteurellaceae,haemophilus,haemophilus parainfluenzae
Zotu5707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,thermoleophilia,thermoleophilales,thermoleophilaceae,thermoleophilum,thermoleophilum album
Zotu1440,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,kineosporiales,kineosporiaceae,angustibacter,angustibacter speluncae
Zotu287,10.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,7.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides szechwanensis
Zotu64,89.0,6.0,5.0,1.0,10.0,9.0,5.0,6.0,6.0,7.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum aridicola
Zotu2417,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
Zotu33,24.0,16.0,10.0,11.0,13.0,9.0,9.0,24.0,35.0,79.0,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,solirubrobacteraceae,solirubrobacter,solirubrobacter phytolaccae
Zotu315,5.0,1.0,2.0,3.0,4.0,4.0,1.0,8.0,4.0,0.0,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu17,16.0,37.0,23.0,12.0,53.0,19.0,21.0,12.0,122.0,30.0,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter galbus
Zotu471,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bacteria,bacillota,bacilli,bacillales,staphylococcaceae,staphylococcus,staphylococcus epidermidis
Zotu1645,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,paracoccaceae,paracoccus,paracoccus marinus
Zotu189,4.0,1.0,8.0,0.0,0.0,6.0,6.0,2.0,6.0,11.0,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu46,22.0,57.0,358.0,43.0,29.0,161.0,11.0,13.0,16.0,97.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides perillae
Zotu907,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu45,121.0,9.0,10.0,6.0,7.0,6.0,6.0,4.0,27.0,291.0,bacteria,pseudomonadota,alphaproteobacteria,rhodospirillales,acetobacteraceae,sabulicella,sabulicella rubraurantiaca
Zotu330,5.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,72.0,3.0,bacteria,actinomycetota,rubrobacteria,gaiellales,gaiellaceae,gaiella,gaiella occulta
Zotu2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum suwonense
Zotu814,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,108.0,0.0,bacteria,bacteroidota,flavobacteriia,flavobacteriales,weeksellaceae,cloacibacterium,cloacibacterium normanense
Zotu394,1.0,1.0,6.0,2.0,2.0,10.0,2.0,4.0,4.0,7.0,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium lacusdiani
