ANATOMY,"Interdune, Depth","Stoss, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",,,,,,,
Zotu,MF.28A,MF.31B,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu285,0.006860122110173561,0.009428032683846638,0.006871907641561298,0.00666911200773617,0.04954746647288102,0.009782502364104738,0.013403029084573114,0.006605892456070815,0.00973646631182656,0.01607148596959275,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium faecigallinarum
Zotu840,0.0,0.009428032683846638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides marinus
Zotu183,0.13034232009329766,0.01571338780641106,0.0,0.0,0.0033031644315254013,0.0,0.0,0.006605892456070815,0.0,0.0032142971939185497,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides pakistanensis
Zotu52,0.8918158743225629,0.0251414204902577,0.017179769103903245,0.02000733602320851,0.019818986589152408,0.013043336485472984,0.010052271813429835,0.07927070947284978,0.1752563936128781,0.0385715663270226,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,labrys,labrys wisconsinensis
Zotu85,0.010290183165260341,0.08485229415461973,0.013743815283122596,0.01333822401547234,0.013212657726101605,0.9065118857403723,0.010052271813429835,0.04954419342053111,0.03570037647669739,0.012857188775674199,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,cnuella,cnuella takakiae
Zotu446,0.017150305275433902,0.01257071024512885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingomonadaceae,novosphingobium,novosphingobium stygium
Zotu151,0.0,0.0031426775612822125,0.006871907641561298,0.0,0.0033031644315254013,0.003260834121368246,0.010052271813429835,0.009908838684106223,0.003245488770608854,0.0192857831635113,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides aquiterrae
Zotu162,0.2675447622967689,0.02828409805153991,0.013743815283122596,0.00666911200773617,0.0,0.0,0.013403029084573114,0.016514731140177038,0.00973646631182656,0.10607180739931213,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu8,0.33957604445359124,0.05656819610307982,0.08589884551951621,0.05335289606188936,0.033031644315254016,0.045651677699155443,0.08041817450743868,0.06936187078874356,0.09411917434765676,1.1603612870045965,bacteria,bdellovibrionota,oligoflexia,oligoflexales,oligoflexaceae,oligoflexus,oligoflexus tunisiensis
Zotu1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium horti
Zotu156,0.010290183165260341,0.01571338780641106,0.006871907641561298,0.0,0.0066063288630508026,0.019565004728209476,0.010052271813429835,0.009908838684106223,0.0421913540179151,0.21857220918646136,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,aquihabitans,aquihabitans daechungensis
